%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1562106040718723211,452,1562106040718506245,,108,0.0
1562106040765326515,453,1562106040765134530,,108,0.0
1562106040939001095,454,1562106040938428275,,108,0.0
1562106040984705304,455,1562106040984134124,,108,0.0
1562106041036786632,456,1562106041036536342,,108,0.0
1562106041066706865,457,1562106041066542214,,108,0.0
1562106041120538886,458,1562106041118515021,,109,0.0
1562106041165998277,459,1562106041165145067,,109,0.0
1562106041217368150,460,1562106041217164321,,109,0.0
1562106041266761021,461,1562106041266591871,,109,0.0
1562106041321033185,462,1562106041320837121,,109,0.0
1562106041367669092,463,1562106041367485386,,109,0.0
1562106041419042842,464,1562106041418867459,,109,0.0
1562106041467305219,465,1562106041467090398,,109,0.0
1562106041519669095,466,1562106041519458464,,109,0.0
1562106041567183231,467,1562106041566556739,,109,0.0
1562106041668872588,468,1562106041668599099,,109,0.0
1562106041727607808,469,1562106041727148143,,109,0.0
1562106041887893661,470,1562106041887130826,,110,0.0
1562106041946167743,471,1562106041945594354,,110,0.0
1562106041972091565,472,1562106041971869452,,110,0.0
1562106042018781365,473,1562106042018520533,,110,0.0
1562106042066210410,474,1562106042066041179,,110,0.0
1562106042143111790,475,1562106042142416276,,110,0.0
1562106042187535848,476,1562106042186940638,,110,0.0
1562106042222775711,477,1562106042222547501,,110,0.0
1562106042266634367,478,1562106042266468194,,110,0.0
1562106042318129948,479,1562106042317952267,,110,0.0
1562106042368422070,480,1562106042368194999,,110,0.0
1562106042420455723,481,1562106042420138256,,110,0.0
1562106042468799028,482,1562106042468528430,,111,0.0
1562106042519441334,483,1562106042519239079,,111,0.0
1562106042587539761,484,1562106042586904252,,111,0.0
1562106042647451820,485,1562106042647045043,,111,0.0
1562106042672999091,486,1562106042672678809,,111,0.0
1562106042722309976,487,1562106042722002584,,111,0.0
1562106042797878848,488,1562106042797035880,,111,0.0
1562106042870948097,489,1562106042870647319,,111,0.0
1562106042920629002,490,1562106042919182885,,111,0.0
1562106042966838682,491,1562106042966664314,,111,0.0
1562106043037131351,492,1562106043036491337,,111,0.0
1562106043077688513,493,1562106043077419104,,111,0.0
1562106043119359068,494,1562106043119191019,,112,0.0
1562106043182497157,495,1562106043181706201,,112,0.0
1562106043225204073,496,1562106043224934120,,112,0.0
1562106043269084645,497,1562106043268916610,,112,0.0
1562106043320253157,498,1562106043320015146,,112,0.0
1562106043370262148,499,1562106043370027435,,112,0.0
1562106043422543695,500,1562106043422325844,,112,0.0
1562106043468032497,501,1562106043467528405,,112,0.0
1562106043520626831,502,1562106043519558398,,112,0.0
1562106043568614217,503,1562106043568363248,,112,0.0
1562106043619024175,504,1562106043618842163,,112,0.0
1562106043667760782,505,1562106043667527955,,113,0.0
1562106043720157655,506,1562106043719889630,,113,0.0
1562106043768920876,507,1562106043768602366,,113,0.0
1562106043870600412,508,1562106043870184923,,113,0.0
1562106043919783347,509,1562106043919282331,,113,0.0
1562106043968748899,510,1562106043968479505,,113,0.0
1562106044018395428,511,1562106044018223453,,113,0.0
1562106044067817092,512,1562106044066627890,,113,0.0
1562106044118121603,513,1562106044117904341,,113,0.0
1562106044166970615,514,1562106044166778274,,113,0.0
1562106044223904439,515,1562106044223671098,,113,0.0
1562106044267590419,516,1562106044267137430,,113,0.0
1562106044319335550,517,1562106044319172072,,114,0.0
1562106044393484063,518,1562106044393250592,,114,0.0
1562106044419419336,519,1562106044419131852,,114,0.0
1562106044467345414,520,1562106044467053989,,114,0.0
1562106044519176219,521,1562106044518964092,,114,0.0
1562106044568946796,522,1562106044568737206,,114,0.0
1562106044618958052,523,1562106044618726773,,114,0.0
1562106044667016169,524,1562106044666795190,,114,0.0
1562106044719171812,525,1562106044718996941,,114,0.0
1562106044767623638,526,1562106044767446133,,114,0.0
1562106044877394173,527,1562106044876939162,,114,0.0
1562106044928652274,528,1562106044928066797,,114,0.0
1562106044972397238,529,1562106044971966342,,114,0.0
1562106045018232334,530,1562106045018040173,,115,0.0
1562106045066339781,531,1562106045066155707,,115,0.0
1562106045118710160,532,1562106045118507600,,115,0.0
1562106045184862712,533,1562106045184370266,,115,0.0
1562106045241511986,534,1562106045241092433,,115,0.0
1562106045268143967,535,1562106045267915564,,115,0.0
1562106045320329975,536,1562106045320062668,,115,0.0
1562106045367171890,537,1562106045366947567,,115,0.0
1562106045419151775,538,1562106045418958095,,115,0.0
1562106045467166673,539,1562106045466931603,,115,0.0
1562106045522602291,540,1562106045522237967,,116,0.0
1562106045569615851,541,1562106045569385796,,116,0.0
1562106045618215016,542,1562106045618032387,,116,0.0
1562106045667280319,543,1562106045667009512,,116,0.0
1562106045720552467,544,1562106045720316933,,116,0.0
1562106045767974231,545,1562106045767797599,,116,0.0
1562106045867663244,546,1562106045867423098,,116,0.0
1562106045954987217,547,1562106045952097296,,117,0.0
1562106046018075549,548,1562106046017224610,,117,0.0
1562106046124751378,549,1562106046122196973,,117,0.0
1562106046220500578,550,1562106046220163771,,118,0.0
1562106046267105927,551,1562106046266917668,,118,0.0
1562106046319461843,552,1562106046319273347,,118,0.0
